date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-03-07,69.7491,69.8659,69.0871,69.6637,55415241,7916463,-0.04071,-0.058,69.4844,"Mar 7, 14",0.0098808241558317,2014,3,0.011373971540548896,0.010590103664862191,2.0
2014-03-10,69.3905,70.0432,69.3878,69.7267,44691430,6384490,0.063038,0.09,69.7857,"Mar 10, 14",0.010794104557559,2014,3,0.009147725050487878,0.010978200070473378,1.0
2014-03-11,70.3217,70.7537,69.946,70.4057,70198849,10028407,0.678987,0.974,70.4848,"Mar 11, 14",0.0206372377761766,2014,3,0.014928764458030694,0.015161016886505837,3.0
2014-03-12,70.1982,70.5712,69.8686,70.474,50195460,7170780,0.068289,0.097,70.2864,"Mar 12, 14",0.0216273497037637,2014,3,0.014162056589869639,0.01558176267227174,2.0
2014-03-13,70.583,70.8746,69.4956,69.6913,64435609,9205087,-0.782734,-1.111,70.1013,"Mar 13, 14",0.0102809279508741,2014,3,0.016550956894876574,0.010760126852082316,2.0
2014-03-14,69.447,69.7228,68.6866,68.9085,59299492,8471356,-0.78274,-1.123,69.0354,"Mar 14, 14",-0.0010669434534466,2014,3,0.009498486139970445,0.005937875005852306,2.0
2014-03-17,69.3038,69.602,69.0609,69.1778,49886074,7126582,0.269229,0.391,69.3514,"Mar 17, 14",0.0028369678510802,2014,3,0.008609477502556173,0.007596833133330278,2.0
2014-03-18,69.0674,69.8646,68.9755,69.7898,52411863,7487409,0.612009,0.885,69.5941,"Mar 18, 14",0.0117088346107178,2014,3,0.007141868271517671,0.011366912502125324,2.0
2014-03-19,69.9027,70.4254,69.4746,69.7714,56188958,8026994,-0.018389,-0.026,68.8598,"Mar 19, 14",0.0114420987473561,2014,3,0.012327545051071401,0.01125356371064521,2.0
2014-03-20,69.5915,69.9566,69.2579,69.4352,52099537,7442791,-0.336209,-0.482,69.6656,"Mar 20, 14",0.0065683706352806,2014,3,0.010395565386523168,0.009182484161970497,2.0
2014-03-21,69.8594,70.0984,69.1239,69.9828,93612169,13373167,0.547656,0.789,57.3363,"Mar 21, 14",0.0145066618731525,2014,3,0.012058731685149348,0.012555842760585195,4.0
2014-03-24,70.7117,70.9849,70.2704,70.8128,88924871,12703553,0.830019,1.186,70.7067,"Mar 24, 14",0.0265387687530532,2014,3,0.017349947199591702,0.017668858898003344,4.0
